overall,age,height_cm,weight_kg,club_position,pace,shooting,passing,dribbling,defending,physic,defending1,attacking1,skills1,mentality1,movement1,power
86,30,174,70,0,63.0,72.0,86.0,90.0,70.0,66.0,68.66666666666667,74.4,73.0,79.5,78.4,72.2
86,32,189,76,0,42.0,62.0,79.0,80.0,82.0,75.0,82.33333333333333,65.6,64.83333333333333,79.33333333333333,57.2,66.2
86,32,182,74,0,50.0,83.0,90.0,81.0,71.0,69.0,69.66666666666667,78.8,73.16666666666667,80.5,63.2,73.2
86,29,197,86,2,69.0,54.0,58.0,64.0,56.0,66.0,15.666666666666666,18.4,18.0,27.666666666666668,53.2,50.4
86,30,163,59,3,87.0,78.0,85.0,90.0,36.0,45.0,33.0,74.6,74.0,66.33333333333333,87.0,63.2
86,30,187,89,1,81.0,28.0,51.0,65.0,87.0,85.0,88.0,42.6,42.333333333333336,61.666666666666664,65.8,63.2
86,28,191,81,1,82.0,49.0,64.0,65.0,87.0,82.0,87.0,58.8,51.5,67.5,69.8,69.6
86,30,179,67,3,81.0,79.0,81.0,90.0,38.0,60.0,32.666666666666664,73.8,70.83333333333333,67.5,84.8,69.2
86,29,180,77,3,79.0,86.0,77.0,84.0,46.0,73.0,42.0,82.0,64.33333333333333,71.83333333333333,78.8,79.2
86,34,179,74,3,85.0,84.0,70.0,80.0,52.0,73.0,50.333333333333336,79.2,58.5,79.5,82.6,75.2
86,27,188,78,0,67.0,69.0,78.0,78.0,85.0,83.0,86.0,68.8,61.333333333333336,81.83333333333333,69.4,79.0
86,27,182,74,1,85.0,71.0,83.0,84.0,80.0,72.0,80.33333333333333,74.6,67.5,74.5,82.6,75.8
86,27,191,85,1,63.0,50.0,72.0,69.0,86.0,80.0,86.33333333333333,61.8,58.833333333333336,69.16666666666667,66.0,70.2
86,26,184,74,0,88.0,80.0,81.0,82.0,78.0,82.0,77.66666666666667,74.4,63.833333333333336,80.83333333333333,82.6,80.2
86,25,191,82,0,61.0,70.0,77.0,78.0,82.0,82.0,81.66666666666667,69.8,60.833333333333336,74.0,66.4,80.0
86,26,188,80,1,80.0,41.0,53.0,69.0,87.0,84.0,86.66666666666667,55.0,42.333333333333336,64.83333333333333,71.2,65.8
85,33,167,68,0,87.0,78.0,84.0,87.0,39.0,55.0,38.0,71.0,69.83333333333333,69.83333333333333,89.2,70.0
85,34,189,89,2,69.0,54.0,58.0,64.0,56.0,66.0,13.666666666666666,21.0,21.166666666666668,36.666666666666664,57.2,46.4
85,35,173,67,0,63.0,74.0,87.0,87.0,52.0,53.0,46.666666666666664,76.0,70.33333333333333,74.66666666666667,77.0,63.4
85,32,183,79,2,69.0,54.0,58.0,64.0,56.0,66.0,13.333333333333334,16.8,16.166666666666668,36.5,59.4,52.2
85,30,175,74,3,84.0,80.0,82.0,88.0,35.0,63.0,27.666666666666668,76.6,70.66666666666667,73.0,84.6,70.4
85,34,190,85,1,64.0,58.0,69.0,72.0,86.0,80.0,84.66666666666667,62.8,57.833333333333336,72.16666666666667,64.4,76.0
85,31,191,86,2,69.0,54.0,58.0,64.0,56.0,66.0,20.333333333333332,18.8,17.5,30.166666666666668,50.0,49.0
85,30,180,80,0,65.0,80.0,85.0,86.0,73.0,72.0,72.66666666666667,74.2,71.66666666666667,80.5,74.2,73.6
85,32,180,71,0,73.0,84.0,84.0,85.0,47.0,63.0,48.0,76.6,71.16666666666667,72.0,79.6,74.0
85,31,183,83,1,92.0,63.0,76.0,78.0,80.0,82.0,81.33333333333333,67.6,64.5,73.16666666666667,80.6,80.8
85,32,187,80,3,89.0,85.0,75.0,80.0,35.0,69.0,28.333333333333332,79.6,64.16666666666667,71.33333333333333,81.6,77.6
85,29,176,75,0,70.0,75.0,85.0,81.0,79.0,80.0,77.66666666666667,72.0,68.5,80.66666666666667,76.8,78.0
85,30,176,73,3,80.0,84.0,84.0,87.0,52.0,72.0,48.666666666666664,84.0,71.83333333333333,77.5,84.8,80.8
85,29,189,78,1,72.0,41.0,64.0,70.0,87.0,79.0,87.0,52.0,45.833333333333336,65.16666666666667,69.6,72.6
85,29,181,76,0,77.0,78.0,79.0,89.0,59.0,78.0,53.666666666666664,79.2,67.66666666666667,76.33333333333333,82.2,79.4
85,27,176,78,3,82.0,83.0,82.0,84.0,30.0,79.0,24.666666666666668,77.4,70.0,71.0,81.6,80.2
85,29,173,73,1,80.0,54.0,78.0,80.0,81.0,80.0,82.66666666666667,67.4,60.166666666666664,73.33333333333333,80.4,71.0
85,29,180,68,0,55.0,67.0,86.0,81.0,73.0,73.0,73.0,71.6,68.16666666666667,81.5,68.4,68.8
85,25,176,77,0,83.0,84.0,79.0,86.0,43.0,69.0,44.0,73.4,64.83333333333333,69.66666666666667,85.6,76.0
85,26,191,76,0,68.0,79.0,80.0,81.0,79.0,86.0,77.0,77.8,69.5,76.33333333333333,68.8,85.2
85,24,183,74,0,67.0,62.0,69.0,74.0,87.0,83.0,87.33333333333333,64.2,57.833333333333336,74.66666666666667,71.2,81.6
85,24,181,79,3,82.0,82.0,81.0,84.0,41.0,63.0,39.0,76.6,65.66666666666667,69.66666666666667,81.6,74.4
85,23,174,72,3,84.0,81.0,72.0,85.0,48.0,84.0,43.333333333333336,78.8,61.0,75.83333333333333,86.6,81.2
85,22,181,73,1,95.0,71.0,78.0,83.0,76.0,78.0,76.33333333333333,73.6,61.0,72.0,87.8,78.2
85,21,189,89,1,73.0,59.0,60.0,69.0,84.0,87.0,84.66666666666667,61.4,51.0,62.5,70.4,81.8
84,35,172,60,1,87.0,69.0,81.0,83.0,79.0,58.0,79.33333333333333,76.2,63.0,76.16666666666667,84.8,65.6
84,34,194,85,1,58.0,61.0,71.0,68.0,85.0,78.0,84.66666666666667,68.6,54.333333333333336,76.0,58.2,67.2
84,30,175,74,0,77.0,75.0,80.0,86.0,79.0,79.0,76.33333333333333,77.0,68.16666666666667,78.83333333333333,82.4,79.8
84,31,182,80,0,66.0,74.0,83.0,79.0,78.0,81.0,78.66666666666667,75.2,67.5,78.0,71.0,78.8
84,33,183,76,0,66.0,62.0,75.0,74.0,83.0,82.0,84.0,66.0,58.166666666666664,72.83333333333333,69.4,76.6
84,33,176,67,3,82.0,85.0,79.0,86.0,35.0,63.0,26.0,81.8,68.5,72.33333333333333,82.0,71.0
84,30,192,82,2,69.0,54.0,58.0,64.0,56.0,66.0,19.666666666666668,22.4,23.333333333333332,38.833333333333336,60.8,46.8
84,29,180,78,1,77.0,70.0,81.0,80.0,83.0,76.0,83.66666666666667,73.2,67.66666666666667,79.0,79.2,78.4
84,28,183,74,0,60.0,76.0,86.0,84.0,57.0,59.0,56.0,72.6,72.5,65.0,69.2,69.2
84,32,181,76,3,69.0,81.0,85.0,85.0,43.0,76.0,37.0,80.4,70.0,73.66666666666667,76.0,76.6
84,30,170,68,3,82.0,84.0,77.0,87.0,39.0,70.0,31.0,80.4,67.0,74.33333333333333,86.4,76.0
84,27,178,74,1,79.0,69.0,80.0,80.0,80.0,76.0,81.66666666666667,73.6,67.33333333333333,74.5,78.6,81.6
84,28,195,88,2,69.0,54.0,58.0,64.0,56.0,66.0,17.0,25.4,23.666666666666668,38.333333333333336,58.8,49.6
84,28,194,100,1,50.0,55.0,69.0,70.0,85.0,87.0,82.66666666666667,62.2,54.5,71.66666666666667,55.0,76.8
84,30,187,80,1,64.0,35.0,57.0,58.0,87.0,76.0,86.33333333333333,50.6,41.666666666666664,62.333333333333336,62.8,59.2
84,25,181,75,1,79.0,54.0,79.0,80.0,81.0,80.0,81.66666666666667,69.0,61.833333333333336,74.83333333333333,78.2,73.2
84,25,180,81,3,80.0,76.0,83.0,88.0,46.0,64.0,46.666666666666664,70.2,69.16666666666667,69.33333333333333,81.6,66.6
84,27,191,86,1,62.0,58.0,72.0,66.0,86.0,79.0,85.0,67.8,50.333333333333336,70.5,62.6,71.2
84,27,185,73,0,88.0,81.0,78.0,85.0,45.0,67.0,42.0,72.8,68.33333333333333,70.83333333333333,83.4,75.8
84,28,184,82,0,88.0,77.0,82.0,83.0,68.0,80.0,69.66666666666667,75.0,67.33333333333333,74.5,82.8,79.4
84,27,170,71,1,75.0,77.0,85.0,88.0,76.0,58.0,78.66666666666667,74.2,71.33333333333333,71.5,83.0,68.2
84,27,175,70,1,83.0,67.0,78.0,82.0,80.0,75.0,82.33333333333333,71.2,62.333333333333336,75.5,81.8,73.2
84,25,191,89,2,69.0,54.0,58.0,64.0,56.0,66.0,19.333333333333332,24.2,27.166666666666668,35.0,55.2,55.0
84,28,181,68,0,69.0,74.0,80.0,79.0,79.0,78.0,79.33333333333333,72.2,66.66666666666667,77.83333333333333,75.4,79.0
84,24,176,72,0,63.0,79.0,86.0,80.0,71.0,72.0,70.66666666666667,78.0,69.16666666666667,78.0,70.6,77.8
84,26,185,79,1,69.0,45.0,57.0,59.0,86.0,80.0,86.66666666666667,53.4,44.833333333333336,59.333333333333336,61.8,71.2
84,27,173,75,0,83.0,83.0,82.0,87.0,38.0,79.0,35.333333333333336,74.4,69.83333333333333,73.5,83.8,78.4
84,25,183,80,0,90.0,81.0,79.0,85.0,38.0,68.0,34.333333333333336,80.4,67.33333333333333,69.0,84.4,73.4
84,24,172,68,0,78.0,71.0,79.0,86.0,75.0,78.0,76.0,70.4,65.66666666666667,81.16666666666667,85.2,76.6
84,29,172,69,1,76.0,74.0,82.0,87.0,79.0,82.0,82.0,72.2,70.0,81.5,81.8,79.2
84,25,185,84,3,74.0,84.0,69.0,83.0,45.0,77.0,32.333333333333336,79.2,57.5,78.16666666666667,77.2,80.8
84,24,183,88,0,78.0,74.0,74.0,80.0,82.0,87.0,82.33333333333333,68.8,57.666666666666664,81.83333333333333,77.4,82.8
84,23,184,81,1,93.0,71.0,76.0,81.0,77.0,82.0,77.66666666666667,74.0,61.0,74.0,84.6,77.8
83,32,177,77,3,80.0,82.0,78.0,84.0,31.0,67.0,22.333333333333332,78.6,65.66666666666667,69.0,81.4,73.0
83,32,190,86,1,67.0,55.0,64.0,59.0,85.0,78.0,84.33333333333333,59.8,52.5,63.833333333333336,64.6,69.4
83,35,193,80,3,66.0,83.0,72.0,78.0,45.0,76.0,32.666666666666664,77.0,60.666666666666664,70.83333333333333,65.6,77.6
83,31,178,77,1,66.0,55.0,76.0,72.0,84.0,76.0,84.66666666666667,66.6,58.833333333333336,74.83333333333333,71.6,71.6
83,32,183,80,0,72.0,81.0,77.0,81.0,80.0,85.0,78.0,78.4,64.33333333333333,79.66666666666667,76.6,85.6
83,28,170,66,0,81.0,76.0,82.0,87.0,51.0,61.0,50.333333333333336,71.2,69.0,69.83333333333333,85.4,69.4
83,30,176,65,0,83.0,80.0,85.0,82.0,67.0,71.0,64.33333333333333,72.2,70.83333333333333,79.83333333333333,82.4,70.2
83,31,192,83,2,69.0,54.0,58.0,64.0,56.0,66.0,11.0,14.4,15.0,29.833333333333332,49.2,44.8
83,30,180,80,1,81.0,65.0,77.0,79.0,78.0,79.0,78.66666666666667,72.8,61.666666666666664,72.66666666666667,79.2,77.8
83,29,190,83,2,69.0,54.0,58.0,64.0,56.0,66.0,20.0,18.2,19.5,33.5,57.0,51.4
83,30,189,83,1,81.0,25.0,44.0,62.0,85.0,81.0,85.66666666666667,42.6,37.166666666666664,54.666666666666664,74.4,59.0
83,32,177,75,0,85.0,80.0,79.0,83.0,56.0,74.0,53.0,77.4,64.83333333333333,75.16666666666667,84.0,76.8
83,33,179,72,0,90.0,75.0,77.0,87.0,76.0,72.0,79.33333333333333,74.4,66.33333333333333,72.83333333333333,87.4,77.6
83,29,194,90,1,58.0,46.0,68.0,68.0,85.0,78.0,84.33333333333333,60.2,50.333333333333336,68.66666666666667,58.4,67.8
83,30,196,92,1,68.0,49.0,55.0,63.0,84.0,87.0,85.33333333333333,55.2,44.5,71.0,56.0,62.2
83,33,192,88,1,63.0,50.0,62.0,64.0,86.0,83.0,86.33333333333333,51.6,56.166666666666664,67.5,55.6,75.4
83,30,175,74,0,72.0,71.0,77.0,82.0,80.0,79.0,83.66666666666667,68.0,60.666666666666664,76.5,78.6,73.6
83,28,179,85,3,73.0,85.0,79.0,80.0,42.0,86.0,35.0,81.2,66.0,75.16666666666667,77.8,85.0
83,28,190,84,3,82.0,80.0,72.0,81.0,31.0,77.0,23.666666666666668,80.0,58.5,68.5,75.8,78.6
83,29,199,76,2,69.0,54.0,58.0,64.0,56.0,66.0,14.333333333333334,16.4,16.666666666666668,33.333333333333336,50.6,51.0
83,30,188,81,3,72.0,82.0,76.0,81.0,47.0,82.0,37.666666666666664,81.0,61.666666666666664,78.16666666666667,73.0,79.6
83,27,185,77,2,69.0,54.0,58.0,64.0,56.0,66.0,17.666666666666668,25.2,24.166666666666668,44.333333333333336,57.4,54.0
83,28,190,85,1,75.0,43.0,68.0,64.0,84.0,84.0,84.33333333333333,58.2,49.166666666666664,63.833333333333336,67.2,71.4
83,26,188,84,3,81.0,84.0,78.0,83.0,63.0,84.0,58.0,80.6,65.0,79.66666666666667,77.4,83.2
83,28,185,77,0,69.0,71.0,82.0,81.0,80.0,84.0,81.33333333333333,70.2,65.66666666666667,75.83333333333333,68.8,82.8
83,26,172,66,1,83.0,61.0,77.0,80.0,79.0,73.0,81.66666666666667,67.6,61.5,72.5,82.0,65.4
83,25,171,66,0,82.0,76.0,82.0,86.0,59.0,63.0,59.0,74.2,70.0,73.16666666666667,83.0,71.2
83,25,185,84,0,60.0,71.0,76.0,76.0,81.0,82.0,80.0,67.8,63.833333333333336,73.33333333333333,66.0,78.8
83,30,189,88,3,80.0,81.0,61.0,78.0,35.0,84.0,30.0,73.6,54.666666666666664,66.0,73.2,79.6
83,30,177,73,0,71.0,86.0,76.0,86.0,30.0,71.0,27.0,79.6,66.16666666666667,71.33333333333333,79.4,77.0
83,24,175,69,1,78.0,71.0,82.0,84.0,76.0,70.0,77.0,73.4,68.66666666666667,75.16666666666667,81.6,73.4
83,28,197,84,3,63.0,83.0,59.0,70.0,52.0,86.0,47.0,76.0,44.333333333333336,71.33333333333333,63.2,82.2
83,26,183,76,0,82.0,75.0,74.0,79.0,77.0,81.0,77.33333333333333,78.8,61.5,71.66666666666667,77.2,79.4
83,25,189,83,0,74.0,78.0,81.0,82.0,82.0,81.0,80.0,75.8,66.83333333333333,77.33333333333333,76.0,81.2
83,23,183,72,1,85.0,52.0,69.0,79.0,81.0,75.0,85.66666666666667,57.8,56.166666666666664,69.66666666666667,81.8,67.2
83,29,177,75,0,88.0,77.0,83.0,84.0,35.0,72.0,30.666666666666668,76.0,69.66666666666667,70.83333333333333,83.6,77.0
83,24,178,67,3,93.0,77.0,77.0,86.0,36.0,56.0,35.0,70.6,66.66666666666667,66.33333333333333,86.8,67.2
83,22,178,70,3,74.0,79.0,84.0,83.0,55.0,65.0,50.666666666666664,76.2,69.5,72.5,77.6,71.4
83,29,197,86,2,69.0,54.0,58.0,64.0,56.0,66.0,11.333333333333334,14.6,19.666666666666668,25.833333333333332,44.8,42.8
83,23,175,70,0,91.0,81.0,74.0,85.0,48.0,73.0,51.0,72.0,62.833333333333336,65.83333333333333,86.6,75.8
83,22,181,75,1,81.0,45.0,64.0,72.0,84.0,78.0,84.33333333333333,56.6,48.0,65.83333333333333,78.4,66.2
82,38,188,80,1,80.0,51.0,60.0,61.0,82.0,87.0,83.0,53.8,47.666666666666664,66.16666666666667,70.2,75.2
82,35,190,82,1,40.0,41.0,62.0,63.0,86.0,73.0,87.0,49.4,50.333333333333336,62.166666666666664,53.2,65.0
82,36,190,83,2,69.0,54.0,58.0,64.0,56.0,66.0,13.0,15.0,16.5,35.166666666666664,53.8,46.4
82,34,192,85,2,69.0,54.0,58.0,64.0,56.0,66.0,12.666666666666666,13.8,14.0,33.333333333333336,55.4,47.8
82,31,185,82,3,82.0,84.0,82.0,80.0,55.0,70.0,51.0,83.4,70.66666666666667,73.16666666666667,76.6,79.6
82,33,190,84,2,69.0,54.0,58.0,64.0,56.0,66.0,12.666666666666666,17.0,17.333333333333332,39.166666666666664,60.2,54.0
82,33,174,75,0,62.0,75.0,84.0,82.0,76.0,71.0,76.66666666666667,71.0,70.33333333333333,80.16666666666667,72.4,69.6
82,31,178,72,0,65.0,68.0,83.0,81.0,75.0,67.0,75.33333333333333,70.4,71.16666666666667,77.16666666666667,73.6,71.2
82,32,181,80,0,61.0,84.0,81.0,81.0,60.0,73.0,58.666666666666664,78.6,66.83333333333333,78.16666666666667,71.0,77.4
82,29,179,70,0,78.0,79.0,82.0,82.0,59.0,67.0,60.0,75.0,67.83333333333333,70.0,81.4,76.4
82,30,189,88,2,69.0,54.0,58.0,64.0,56.0,66.0,13.0,14.8,12.166666666666666,31.5,51.6,53.0
82,31,180,72,1,45.0,64.0,82.0,79.0,83.0,72.0,82.33333333333333,73.2,65.83333333333333,73.5,63.6,72.4
82,29,177,71,0,68.0,75.0,83.0,84.0,55.0,69.0,53.0,74.8,68.5,76.0,75.4,69.4
82,31,174,66,0,69.0,62.0,71.0,78.0,83.0,77.0,84.0,59.0,60.0,73.33333333333333,76.2,77.6
82,30,187,80,1,82.0,61.0,74.0,78.0,79.0,79.0,81.0,68.6,56.333333333333336,71.83333333333333,76.6,75.4
82,31,187,82,2,69.0,54.0,58.0,64.0,56.0,66.0,15.666666666666666,16.4,14.166666666666666,29.666666666666668,53.6,50.6
82,28,180,66,3,89.0,77.0,73.0,87.0,34.0,75.0,32.0,68.8,60.333333333333336,68.0,84.0,72.8
82,30,184,81,2,69.0,54.0,58.0,64.0,56.0,66.0,13.666666666666666,19.6,16.166666666666668,34.666666666666664,67.6,52.4
82,28,179,70,0,68.0,74.0,83.0,82.0,71.0,72.0,69.66666666666667,73.8,69.5,74.66666666666667,74.0,73.2
82,30,185,72,1,67.0,49.0,71.0,65.0,84.0,83.0,82.66666666666667,63.6,51.333333333333336,68.33333333333333,69.0,71.4
82,28,177,67,0,77.0,75.0,77.0,79.0,77.0,81.0,79.0,70.8,63.5,78.5,78.4,80.2
82,27,176,70,3,76.0,76.0,82.0,85.0,32.0,55.0,29.666666666666668,72.4,70.33333333333333,60.833333333333336,78.6,68.2
82,28,170,67,1,82.0,65.0,78.0,82.0,76.0,68.0,78.0,69.2,61.666666666666664,73.33333333333333,83.8,68.2
82,27,178,76,0,67.0,78.0,84.0,85.0,59.0,57.0,58.0,73.6,71.83333333333333,73.0,74.4,66.6
82,30,185,76,0,66.0,68.0,71.0,73.0,82.0,83.0,82.33333333333333,69.0,55.666666666666664,77.66666666666667,69.6,80.4
82,30,192,78,2,69.0,54.0,58.0,64.0,56.0,66.0,17.666666666666668,19.0,18.0,31.333333333333332,45.4,47.2
82,25,171,69,1,87.0,65.0,81.0,83.0,74.0,71.0,73.66666666666667,68.8,69.0,73.33333333333333,85.2,75.0
82,26,183,72,0,79.0,80.0,81.0,85.0,36.0,69.0,34.0,76.4,67.83333333333333,70.83333333333333,81.4,72.2
82,25,195,99,1,65.0,42.0,59.0,51.0,83.0,81.0,83.0,50.2,39.0,59.166666666666664,54.2,66.8
82,27,190,80,0,80.0,83.0,81.0,83.0,52.0,75.0,47.333333333333336,78.6,71.0,72.66666666666667,80.0,78.6
82,28,170,63,0,94.0,73.0,74.0,86.0,50.0,52.0,46.0,68.6,61.833333333333336,67.16666666666667,89.8,65.4
82,28,185,86,1,76.0,47.0,63.0,68.0,81.0,83.0,81.0,51.2,55.166666666666664,66.33333333333333,71.4,74.4
82,27,185,78,0,86.0,83.0,75.0,81.0,48.0,80.0,43.0,79.2,63.166666666666664,69.33333333333333,80.2,78.4
82,24,175,73,0,75.0,78.0,84.0,84.0,54.0,60.0,55.333333333333336,69.0,70.83333333333333,72.83333333333333,79.0,68.4
82,23,185,75,0,61.0,72.0,79.0,77.0,79.0,79.0,78.66666666666667,71.2,62.666666666666664,73.83333333333333,66.8,77.8
82,22,178,68,0,77.0,74.0,83.0,84.0,58.0,62.0,55.0,73.0,70.0,71.5,79.4,66.6
82,24,180,80,0,59.0,75.0,85.0,77.0,74.0,73.0,74.33333333333333,73.4,69.16666666666667,78.66666666666667,67.8,76.6
82,25,189,70,0,63.0,78.0,79.0,82.0,74.0,71.0,74.33333333333333,73.6,64.5,75.16666666666667,69.4,72.0
82,22,177,69,3,89.0,70.0,73.0,86.0,37.0,59.0,39.0,68.8,60.5,63.0,86.2,68.6
82,25,190,82,0,60.0,65.0,70.0,72.0,85.0,88.0,86.0,66.0,56.0,74.66666666666667,60.0,79.8
82,22,186,90,1,81.0,43.0,62.0,68.0,81.0,81.0,84.0,54.4,45.333333333333336,62.5,72.6,68.0
82,26,185,76,1,75.0,49.0,72.0,71.0,83.0,80.0,82.66666666666667,62.2,57.166666666666664,70.0,73.8,70.2
82,33,190,85,2,69.0,54.0,58.0,64.0,56.0,66.0,16.666666666666668,11.0,12.333333333333334,34.833333333333336,48.0,48.0
82,29,185,80,1,78.0,43.0,56.0,64.0,85.0,79.0,84.66666666666667,55.8,47.166666666666664,63.166666666666664,74.8,64.0
82,24,190,89,2,69.0,54.0,58.0,64.0,56.0,66.0,13.666666666666666,21.0,16.666666666666668,29.5,49.0,50.8
82,24,181,71,0,83.0,78.0,73.0,83.0,53.0,80.0,50.333333333333336,78.0,62.166666666666664,74.16666666666667,80.0,79.8
82,24,176,68,0,91.0,76.0,76.0,84.0,49.0,72.0,45.666666666666664,69.0,66.5,73.33333333333333,86.0,75.8
82,21,192,77,3,84.0,82.0,68.0,79.0,29.0,69.0,21.333333333333332,76.6,56.5,65.83333333333333,78.6,75.4
